chiral amine,,,,
8,四氢呋喃/THF,Tetrahydrofuran,C1CCOC1,109-99-9
9,苯/Benzene,Benzene,C1=CC=CC=C1,71-43-2
10,甲苯/Tol,Toluene,CC1=CC=CC=C1,108-88-3
11,氯苯/PhCl,Chlorobenzene,ClC1=CC=CC=C1,108-90-7
12,"1,2-二氯乙烷/DCE","1,2-Dichloroethane",C(CCl)Cl,107-06-2
13,甲醇/MeOH,Methanol,CO,67-56-1
14,乙醇/EtOH,Ethanol,CCO,64-17-5
15,异丙醇/iPrOH,Isopropanol,CC(C)O,67-63-0
16,叔丁醇/tBuOH,tert-Butanol,CC(C)(C)O,75-65-0
17,六氟异丙醇/HFIP,"1,1,1,3,3,3-Hexafluoro-2-propanol",C(C(F)(F)F)(C(F)(F)F)O,920-66-1
18,三氟乙醇/TFE,"2,2,2-Trifluoroethanol",C(C(F)(F)F)O,75-89-8
Metal salts,,,,
No,molecular formula,CAS No.,,
1,ScCl3,10361-84-9,,
2,Sc(OTf)3,144026-79-9,,
3,YCl3,10361-92-9,,
4,TiCl4,7550-45-0,,
5,Ti[O(i-Pr)]4,546-68-9,,
6,ZrCl4,10026-11-6,,
7,Zr(cp)2Cl2,1291-32-3,,
8,HfCl4,13499-05-3,,
9,Hf(acac)4,17475-67-1,,
10,VCl3,7718-98-1,,
11,VOCl3,7727-18-6,,
12,NbCl5,10026-12-7,,
13,TaCl5,7721-01-9,,
14,CrCl2,10049-05-5,,
15,CrCl3,10025-73-7,,
16,Cr(acac)3,21679-31-2,,
17,MoCl3,13478-18-7,,
18,MoCl5,10241-05-1,,
19,WCl5,13470-14-9,,
20,WCl6,13283-01-7,,
21,MnCl2,7773-01-5,,
22,Mn(OTf)2,55120-76-8,,
23,Mn(acac)3,14284-89-0,,
24,CoCl2,7646-79-9,,
25,CoI2,15238-00-3,,
26,Co(acac)2,14024-48-7,,
27,Co(PPh3)2Cl2,14126-40-0,,
28,FeCl2,7758-94-3,,
29,FeCl3,7705-08-0,,
30,FeBr2,7789-46-0,,
31,FeBr3,10031-26-2,,
32,FeI2,7783-86-0,,
33,FeF3,7783-50-8,,
34,NiF2,10028-18-9,,
35,NiCl2,7718-54-9,,
36,NiBr2,13462-88-9,,
37,NiBr2(PPh3)3,14126-37-5,,
38,Ni(DME)Br2,28923-39-9,,
39,Ni(dppp)Br2,15629-92-2,,
40,PdCl2,7647-10-1,,
41,Pd(OAc)2,3375-31-3,,
42,Pd(bpy)Cl2,14871-92-2,,
43,Pd(OTf)2,42196-31-6,,
44,Pd(PPh3)2Cl2,13965-03-2,,
45,PtCl2,10025-65-7,,
46,PtCl4,13454-96-1,,
47,CuCl,7758-89-6,,
48,CuBr,7787-70-4,,
49,CuI,7681-65-4,,
50,CuOAc,598-54-9,,
51,CuTc,68986-76-5,,
52,Cu(MeCN)4PF6,64443-05-6,,
53,CuBr2,7789-45-9,,
54,Cu(NTf2)2,162715-14-2,,
55,Cu(OAc)2,142-71-2,,
56,CuCl2,7447-39-4,,
57,Cu(OTf)2,34946-82-2,,
58,AgNO3,7761-88-8,,
59,AgOAc,563-63-3,,
60,AgNTf2,189114-61-2,,
61,AgClO4,7783-93-9,,
62,AgOTf,2923-28-6,,
63,AgI,7783-96-2,,
64,AgCl,7783-90-6,,
65,AgBF4,14104-20-2,,
66,Au(DMS)Cl,29892-37-3,,
67,ZnI2,10139-47-6,,
68,ZnBr2,7699-45-8,,
69,Zn(NTf2)2,168106-25-0,,
70,Zn(OTf)2,54010-75-2,,
71,CdI2,7790-80-9,,
72,CdCl2,10108-64-2,,
73,AlCl3,7446-70-0,,
74,Al[O(i-Pr)]3,555-31-7,,
75,GaCl3,13450-90-3,,
76,GaI3,13450-91-4,,
77,InBr3,13465-09-3,,
78,InCl3,10025-82-8,,
79,SbF5,7783-70-2,,
80,SbCl3,10025-91-9,,
