section,no,name,cn_name,en_name,abbr,formula,smiles,cas,density_g_ml
metal_salt,43,Pd(OTf)2,,,,Pd(OTf)2,,42196-31-6,
metal_salt,44,Pd(PPh3)2Cl2,,,,Pd(PPh3)2Cl2,,13965-03-2,
metal_salt,45,PtCl2,,,,PtCl2,,10025-65-7,
metal_salt,46,PtCl4,,,,PtCl4,,13454-96-1,
metal_salt,47,CuCl,,,,CuCl,,7758-89-6,
metal_salt,48,CuBr,,,,CuBr,,7787-70-4,
metal_salt,49,CuI,,,,CuI,,7681-65-4,
metal_salt,50,CuOAc,,,,CuOAc,,598-54-9,
metal_salt,51,CuTc,,,,CuTc,,68986-76-5,
metal_salt,52,Cu(MeCN)4PF6,,,,Cu(MeCN)4PF6,,64443-05-6,
metal_salt,53,CuBr2,,,,CuBr2,,7789-45-9,
metal_salt,54,Cu(NTf2)2,,,,Cu(NTf2)2,,162715-14-2,
metal_salt,55,Cu(OAc)2,,,,Cu(OAc)2,,142-71-2,
metal_salt,56,CuCl2,,,,CuCl2,,7447-39-4,
metal_salt,57,Cu(OTf)2,,,,Cu(OTf)2,,34946-82-2,
metal_salt,58,AgNO3,,,,AgNO3,,7761-88-8,
metal_salt,59,AgOAc,,,,AgOAc,,563-63-3,
metal_salt,60,AgNTf2,,,,AgNTf2,,189114-61-2,
metal_salt,61,AgClO4,,,,AgClO4,,7783-93-9,
metal_salt,62,AgOTf,,,,AgOTf,,2923-28-6,
metal_salt,63,AgI,,,,AgI,,7783-96-2,
metal_salt,64,AgCl,,,,AgCl,,7783-90-6,
metal_salt,65,AgBF4,,,,AgBF4,,14104-20-2,
metal_salt,66,Au(DMS)Cl,,,,Au(DMS)Cl,,29892-37-3,
metal_salt,67,ZnI2,,,,ZnI2,,10139-47-6,
metal_salt,68,ZnBr2,,,,ZnBr2,,7699-45-8,
metal_salt,69,Zn(NTf2)2,,,,Zn(NTf2)2,,168106-25-0,
metal_salt,70,Zn(OTf)2,,,,Zn(OTf)2,,54010-75-2,
metal_salt,71,CdI2,,,,CdI2,,7790-80-9,
metal_salt,72,CdCl2,,,,CdCl2,,10108-64-2,
metal_salt,73,AlCl3,,,,AlCl3,,7446-70-0,
metal_salt,74,Al[O(i-Pr)]3,,,,Al[O(i-Pr)]3,,555-31-7,
metal_salt,75,GaCl3,,,,GaCl3,,13450-90-3,
metal_salt,76,GaI3,,,,GaI3,,13450-91-4,
metal_salt,77,InBr3,,,,InBr3,,13465-09-3,
metal_salt,78,InCl3,,,,InCl3,,10025-82-8,
metal_salt,79,SbF5,,,,SbF5,,7783-70-2,
metal_salt,80,SbCl3,,,,SbCl3,,10025-91-9,
substrate,1,苯乙炔,苯乙炔,ethynylbenzene,,C8H6,,536-74-3,0.93
substrate,2,正壬醛,正壬醛,nonanal,,C9H18O,,124-19-6,0.827
