variable,type,value,unit,low,high,role,stage,active,source,descriptor__<r^2>,descriptor__<r^2>-atom0,descriptor__<r^2>-atom1,descriptor__A,descriptor__AN,descriptor__B,descriptor__Bond_dipole_bond0,descriptor__Chem_potential,descriptor__Cond_Fukui+_atom0,descriptor__Cond_Fukui+_atom1,descriptor__Cond_Fukui-_atom0,descriptor__Cond_Fukui-_atom1,descriptor__Cond_Fukui0_atom0,descriptor__Cond_Fukui0_atom1,descriptor__Cond_dual_desc_atom0,descriptor__Cond_dual_desc_atom1,descriptor__Cond_electro_idx_atom0,descriptor__Cond_electro_idx_atom1,descriptor__Cond_nucleo_idx_atom0,descriptor__Cond_nucleo_idx_atom1,descriptor__Cond_softness+_atom0,descriptor__Cond_softness+_atom1,descriptor__Cond_softness-_atom0,descriptor__Cond_softness-_atom1,descriptor__Cond_softness0_atom0,descriptor__Cond_softness0_atom1,descriptor__DI,descriptor__DN,descriptor__ES,descriptor__ET,descriptor__E_ox_potential,descriptor__E_red_potential,descriptor__Elec_hardness,descriptor__Elec_softness,descriptor__Electro_idx,descriptor__Fuzzy_bond_order_bond0,descriptor__HOMO_LUMO_energy_gap,descriptor__HOMO_ODI,descriptor__HOMO_ODI-atom0,descriptor__HOMO_ODI-atom1,descriptor__HOMO_energy,descriptor__Hirshfeld_atom0,descriptor__Hirshfeld_atom1,descriptor__LUMO_ODI,descriptor__LUMO_ODI-atom0,descriptor__LUMO_ODI-atom1,descriptor__LUMO_energy,descriptor__Laplacian_bond_order_bond0,descriptor__MPI,descriptor__Mayer_bond_order_bond0,descriptor__Molecular_ES_radius_max,descriptor__Molecular_ES_radius_min,descriptor__Molecular_all_surface_area,descriptor__Molecular_height,descriptor__Molecular_length,descriptor__Molecular_sphericity,descriptor__Molecular_volumn,descriptor__Molecular_widht,descriptor__Mulliken_Chi,descriptor__Mulliken_bond_order_bond0,descriptor__Nucleo_idx,descriptor__Relative_electro_idx_atom0,descriptor__Relative_electro_idx_atom1,descriptor__Relative_nucleo_idx_atom0,descriptor__Relative_nucleo_idx_atom1,descriptor__SA,descriptor__SB,descriptor__SPP,descriptor__VEA,descriptor__VIP,descriptor__Wiberg_bond_order_bond0,descriptor__area_nSurface,descriptor__area_pSurface,descriptor__aver_ALIE,descriptor__aver_ESP_atom0,descriptor__aver_ESP_atom1,descriptor__aver_LEA,descriptor__aver_LEAE,descriptor__aver_nESP,descriptor__aver_oESP,descriptor__aver_pESP,descriptor__bond_0,descriptor__char_balance,descriptor__charge_ADCH-atom0,descriptor__charge_ADCH-atom1,descriptor__charge_Becke-atom0,descriptor__charge_Becke-atom1,descriptor__charge_CHELPG-ESP-atom0,descriptor__charge_CHELPG-ESP-atom1,descriptor__charge_CM5-atom0,descriptor__charge_CM5-atom1,descriptor__charge_Hirshfeld-atom0,descriptor__charge_Hirshfeld-atom1,descriptor__charge_MK-ESP-atom0,descriptor__charge_MK-ESP-atom1,descriptor__charge_Modified_Mulliken_by_Bickelhaupt-atom0,descriptor__charge_Modified_Mulliken_by_Bickelhaupt-atom1,descriptor__charge_Mulliken-atom0,descriptor__charge_Mulliken-atom1,descriptor__charge_RESP-atom0,descriptor__charge_RESP-atom1,descriptor__charge_SCPA-atom0,descriptor__charge_SCPA-atom1,descriptor__dipole,descriptor__dipole-atom0,descriptor__dipole-atom1,descriptor__energy_index-atom0,descriptor__energy_index-atom1,descriptor__f(n2),descriptor__icp_atom0,descriptor__icp_atom1,descriptor__lattice_energy,descriptor__max_ESP,descriptor__max_ESP_atom0,descriptor__max_ESP_atom1,descriptor__min_ESP,descriptor__min_ESP_atom0,descriptor__min_ESP_atom1,descriptor__nD,descriptor__nu_atom0,descriptor__nu_atom1,descriptor__oxidation_state_LOBA-atom0,descriptor__oxidation_state_LOBA-atom1,descriptor__r+_in_crystal,descriptor__r+_thermo,descriptor__r-_thermo,descriptor__total_ESP-atom0,descriptor__total_ESP-atom1,descriptor__vari_ALIE,descriptor__vari_ESP_atom0,descriptor__vari_ESP_atom1,descriptor__vari_LEA,descriptor__vari_LEAE,descriptor__vari_n_ESP,descriptor__vari_o_ESP,descriptor__vari_p_ESP,descriptor__z+,descriptor__z-,descriptor__z/r_+,descriptor__z/r_-,descriptor__α,descriptor__β,descriptor__δ,descriptor__δd,descriptor__δh,descriptor__δp,descriptor__ε0,descriptor__π*
Additive,categorical,BaCO3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2612.679634,,,,,,,,,,,,135,143,189,,,,,,,,,,,2,2,71.5,94.5,,,,,,,,
Additive,categorical,Ba(NO3)2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903.722089,,,,,,,,,,,,135,143,200,,,,,,,,,,,2,1,71.5,200,,,,,,,,
Additive,categorical,BaSO4,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.180899,,,,,,,,,,,,135,143,218,,,,,,,,,,,2,2,71.5,109,,,,,,,,
Additive,categorical,BiOCl,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.3058373,,,,,,,,,,,,103,103,168,,,,,,,,,,,1,1,103,168,,,,,,,,
Additive,categorical,BiCl3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4675.835024,,,,,,,,,,,,103,103,168,,,,,,,,,,,3,1,34.33333333,168,,,,,,,,
Additive,categorical,Bi(OTf)3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3908.611314,,,,,,,,,,,,103,103,230,,,,,,,,,,,3,1,34.33333333,230,,,,,,,,
Additive,categorical,Bi(OAc)3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.987654,,,,,,,,,,,,103,103,194,,,,,,,,,,,3,1,34.33333333,194,,,,,,,,
Additive,categorical,Bi2(SO4)3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10093.02122,,,,,,,,,,,,103,103,218,,,,,,,,,,,3,2,34.33333333,109,,,,,,,,
Additive,categorical,CaF2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2663.960315,,,,,,,,,,,,100,106,126,,,,,,,,,,,2,1,53,126,,,,,,,,
Additive,categorical,CaCl2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2316.013107,,,,,,,,,,,,100,106,168,,,,,,,,,,,2,1,53,168,,,,,,,,
Additive,categorical,CaBr2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2166.830259,,,,,,,,,,,,100,106,190,,,,,,,,,,,2,1,53,190,,,,,,,,
Additive,categorical,CaCO3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2897.604137,,,,,,,,,,,,100,106,189,,,,,,,,,,,2,2,53,94.5,,,,,,,,
Additive,categorical,CaSO4,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2669.524463,,,,,,,,,,,,100,106,218,,,,,,,,,,,2,2,53,109,,,,,,,,
Additive,categorical,Ca3(PO4)2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9694.276148,,,,,,,,,,,,100,106,230,,,,,,,,,,,2,3,53,76.66666667,,,,,,,,
Additive,categorical,CeCl3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4464.497041,,,,,,,,,,,,101,118,168,,,,,,,,,,,3,1,39.33333333,168,,,,,,,,
Additive,categorical,Co(NO3)3_6H2O,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4781.25,,,,,,,,,,,,61,64,200,,,,,,,,,,,3,1,21.33333333,200,,,,,,,,
Additive,categorical,CoCl2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2503.248,,,,,,,,,,,,75,82,168,,,,,,,,,,,2,1,41,168,,,,,,,,
Additive,categorical,CoSO4,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2855.6,,,,,,,,,,,,75,82,218,,,,,,,,,,,2,2,41,109,,,,,,,,
Additive,categorical,Cr(NO3)3_9H2O,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4781.25,,,,,,,,,,,,62,64,200,,,,,,,,,,,3,1,21.33333333,200,,,,,,,,
Additive,categorical,CrCl3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5544.481071,,,,,,,,,,,,62,53,168,,,,,,,,,,,3,1,17.66666667,168,,,,,,,,
Additive,categorical,CsCl,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.435219,,,,,,,,,,,,174,165,168,,,,,,,,,,,1,1,165,168,,,,,,,,
Additive,categorical,CsBr,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.4413807,,,,,,,,,,,,174,165,190,,,,,,,,,,,1,1,165,190,,,,,,,,
Additive,categorical,CsI,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.5617361,,,,,,,,,,,,174,165,211,,,,,,,,,,,1,1,165,211,,,,,,,,
Additive,categorical,Cs2CO3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.976731,,,,,,,,,,,,174,165,189,,,,,,,,,,,1,2,165,94.5,,,,,,,,
Additive,categorical,Cs2SO4,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724.812358,,,,,,,,,,,,174,165,218,,,,,,,,,,,1,2,165,109,,,,,,,,
Additive,categorical,CuCl,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.4477295,,,,,,,,,,,,60,95,168,,,,,,,,,,,1,1,95,168,,,,,,,,
Additive,categorical,CuBr,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.3342567,,,,,,,,,,,,60,95,190,,,,,,,,,,,1,1,95,190,,,,,,,,
Additive,categorical,CuI,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.6852493,,,,,,,,,,,,60,95,211,,,,,,,,,,,1,1,95,211,,,,,,,,
Additive,categorical,CuSO4_5H2O,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2940.832342,,,,,,,,,,,,73,72,218,,,,,,,,,,,2,2,36,109,,,,,,,,
Additive,categorical,Cu(NO3)2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330.571475,,,,,,,,,,,,73,72,200,,,,,,,,,,,2,1,36,200,,,,,,,,
Additive,categorical,CuCl2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2590.15625,,,,,,,,,,,,57,72,168,,,,,,,,,,,2,1,36,168,,,,,,,,
Additive,categorical,CuBr2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2406.109784,,,,,,,,,,,,57,72,190,,,,,,,,,,,2,1,36,190,,,,,,,,
Additive,categorical,Fe(NO3)3_9H2O,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4735.513193,,,,,,,,,,,,65,67,200,,,,,,,,,,,3,1,22.33333333,200,,,,,,,,
Additive,categorical,Fe2(SO4)3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11195.01385,,,,,,,,,,,,65,67,218,,,,,,,,,,,3,2,22.33333333,109,,,,,,,,
Additive,categorical,FeBr2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330.571475,,,,,,,,,,,,78,82,190,,,,,,,,,,,2,1,41,190,,,,,,,,
Additive,categorical,FeCl2,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2503.248,,,,,,,,,,,,78,82,168,,,,,,,,,,,2,1,41,168,,,,,,,,
Additive,categorical,FeCl3,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5271.634224,,,,,,,,,,,,65,67,168,,,,,,,,,,,3,1,22.33333333,168,,,,,,,,
Additive,categorical,FeSO4,,,,,A,true,collaborator:additive_desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2855.6,,,,,,,,,,,,78,82,218,,,,,,,,,,,2,2,41,109,,,,,,,,
