disease_id,disease_name
5627,head and neck cancer
1340,heart cancer
5267,heart disease
5252,heart failure
6500_3096_2323,hemangioma
17636,hemiparkinsonism-hemiatrophy syndrome
19050_4781_44348_44349,hemoglobinopathy
10604_10602_15720_15719_18660_15721_15715_15716_15717,hemophilia
4872_4873,hemorrhoid
1436,hemosiderosis
18048,heparin-induced thrombocytopenia (disease)
1548,hepatic coma
1711,hepatic encephalopathy
5231,hepatitis C virus infection
7256_18902_16216_3243,hepatocellular carcinoma
12526_15053_19623_15054,hereditary angioedema
33946,hereditary angioedema with C1Inh deficiency
16419,hereditary breast carcinoma
3582,hereditary breast ovarian cancer syndrome
6507,hereditary hemochromatosis
10619_10358_20720,hereditary hypophosphatemic rickets
18466,hereditary late onset Parkinson disease
7116,hereditary neurocutaneous angioma
20989,hereditary persistence of fetal hemoglobin
16249,hereditary site-specific ovarian cancer syndrome
19565,hereditary von Willebrand disease
12521,herpes simplex encephalitis
18312,histoplasmosis
18328,homozygous familial hypercholesterolemia
5459,human African trypanosomiasis
43455,humoral hypercalcemia of malignancy
3009,hyperaldosteronism
9377,hyperammonemia due to N-acetylglutamate synthase deficiency
8814,hyperargininemia
1566,hypercalcemia disease
15691,hypereosinophilic syndrome
5803_18619,hyperinsulinemic hypoglycemia
12382_11153_9734,"hyperinsulinemic hypoglycemia, familial"
2177,hyperinsulinism (disease)
21187_11237_11470,hyperlipidemia
7759,"hyperlipidemia, familial combined, LPL related"
14412_7761_7762_18473_37748,hyperlipoproteinemia
24570_7767_6964_1530_1741_10837_16166_12406_21132,hyperparathyroidism
328,hyperphosphatemia (disease)
6793,hyperpituitarism
5804,hyperprolactinemia (disease)
17853,hypersensitivity pneumonitis
1200_1134_15512_5080_100078,hypertension
5044,hypertensive disorder
4425,hyperthyroidism
19280,hypertrichosis (disease)
5347,hypertriglyceridemia (disease)
13412_13200_12112_7268_11843_13474_13475_13477_10946_12799_8647_12804_13455_14883_13852_13197_7267_13195_12111_13369_7266_13476_5045,hypertrophic cardiomyopathy
1821,hypoactive sexual desire disorder
11393_17773_32766,hypoalphalipoproteinemia
1357_387,hypochromic anemia
4946,hypoglycemia
2146,hypogonadism
9421,"hypogonadism, male"
9417_18555,hypogonadotropic hypogonadism
7794_9239_9223_13912_13961_7844_13946_14105_13910_14102_12880_14461_9482_30010_14107_13914_10635_14106_13911_12528_13926_13913_12988_14103_13915,hypogonadotropic hypogonadism with or without anosmia
16384,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome
7078_12911_12912_8749_11301_19992_16165_1220,hypoparathyroidism
313,hypophosphatemia (disease)
19591_5152,hypopituitarism
5468,hypotensive disorder
5420_16412_15777,hypothyroidism
16778,iatrogenic botulism
12197,idiopathic aplastic anemia
18956,idiopathic bronchiectasis
11895,idiopathic hypereosinophilic syndrome
2429,idiopathic interstitial pneumonia
8345,idiopathic pulmonary fibrosis
17256_17257,idiopathic uveitis
18369,immature ovarian teratoma
15804,infant botulism
4796,infectious meningitis
9960_12845_33643_11471_12831_12875_12941_13153_8617_54849_5265_12832_12610_12840_11087_11521_11661_11699_11700_11701_12040_12829_12837_12838_12841_12852_12886_12887_12940_12973_13012,inflammatory bowel disease
5812,influenza
13855,"influenza, severe, susceptibility to"
16595,inhalational anthrax
16777,inhalational botulism
17893,inherited acute myeloid leukemia
1713,inherited aplastic anemia
17337,inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency
13600,insomnia (disease)
18301,interstitial cystitis
15806_15805,intestinal botulism
916,intestinal infectious disease
4565_2803_2801,intestinal obstruction
6810,intracranial hypertension
6812,intracranial vasospasm
20324,intravascular large B-cell lymphoma
4765,intrinsic asthma
4953,invasive ductal breast carcinoma
6563,inverted follicular keratosis
2289,iris disease
6814,iritis (disease)
1356,iron deficiency anemia
2279,iron metabolism disease
5052,irritable bowel syndrome
7834,islet cell adenomatosis
50,isolated congenital growth hormone deficiency
10615_13006_8250_32569_9876_32567,isolated growth hormone deficiency
16621,juvenile Huntington disease
9394,juvenile Paget disease
32920,juvenile arthritis due to defect in LACC1
11429_19433,juvenile idiopathic arthritis
14231,juvenile onset Parkinson disease 19A
16691_4000_3999,juvenile pilocytic astrocytoma
16236,kaposiform hemangioendothelioma
5348,keloid
7847,keloid formation
4903_3085_1465_33821,keratitis
15599_4768_25431,keratoconjunctivitis
19004_24675,kidney Wilms tumor
6065_100345,lactose intolerance
15317,laryngotracheal angioma
5823,legionellosis
5058,leiomyosarcoma
11989_5446,leishmaniasis
5124,leprosy
5825,leptospirosis
9519,letterer-Siwe disease
13108_7190_12318_12934_12935_12936_13109,"leukemia, lymphocytic, susceptibility to"
18056_6572_16767_43923_16769_16770,lichen planus
4901,lingual-facial-buccal dyskinesia
6835,lipoid nephrosis
5060_4510_3591,liposarcoma
5828,listeriosis
2691,liver cancer
19562,localized scleroderma
10939,low phospholipid associated cholelithiasis
744,lung abscess (disease)
8903,lung cancer
21117,lung neoplasm
4670_5282_19561,lupus erythematosus
6277_11705,lymphangioleiomyomatosis
2013,lymphangioma
19297,lymphedema
5062,lymphoma
11508,"lymphoma, non-Hodgkin, familial"
432,lymphoplasmacytic lymphoma
4638,lymphosarcoma
19245,lysosomal lipid storage disorder
5190,macroglobulinemia
11285_13406_12767_12540_7932_14189_3004_5150_5417_14207_12659_14266_13420_13409_12419_13416_12674_100114,macular degeneration
7440_10648_12685_694_12881_12319_12642_12686_12877_12882,major affective disorder
2009_12050_12100,major depressive disorder
5136,malaria
20541,maligant granulosa cell tumor of ovary
20542,malignant Sertoli-Leydig cell tumor of ovary
21063,malignant colon neoplasm
20538,malignant dysgerminomatous germ cell tumor of ovary
18171,malignant germ cell tumor of ovary
100342,malignant glioma
6846_1785_1133,malignant hypertension
18493,malignant hyperthermia of anesthesia
6292,malignant mesothelioma (disease)
16096,malignant non-dysgerminomatous germ cell tumor of ovary
18172,malignant sex cord stromal tumor of ovary
24612,manic bipolar affective disorder
18876_6430,mantle cell lymphoma
20334,mast cell leukemia
7950,mastocytosis
430,mature T-cell and NK-cell non-Hodgkin lymphoma
15277,medullary thyroid gland carcinoma
1700,megaloblastic anemia (disease)
6579,melanoacanthoma
5105_5012,melanoma
21108,meningitis (disease)
18059_5373,meningococcal infection
5084,mental disorder
5191,metastatic melanoma
1117,methemoglobinemia
1245,microcytic anemia
5277,migraine disorder
11845_12441_11851_11847_8000_12440_11850_12715_100246_13344_12210_12303_12331,"migraine with or without aura, susceptibility to"
41086,mixed anxiety and depressive disorder
7896_4600_4614_875,monocytic leukemia
19182,monogenic obesity
5531,morphine dependence
8015,motion sickness
5859,mucocutaneous leishmaniasis
17988,multifocal atrial tachycardia (disease)
12552_8234_8082_7540_19003_17169,multiple endocrine neoplasia
5301,multiple sclerosis
7803,multiple system atrophy
11486_12279_19950_20121_23595_18281,muscular dystrophy
2081,musculoskeletal system disease
9688_18325,myasthenia gravis
16823,mycetoma
9691_15821_45071,mycosis fungoides and variants
18881,myelodysplastic syndrome
44903,myelofibrosis
18874_4643,myeloid leukemia
11908_18871_20311,myelomonocytic leukemia
20076,myeloproliferative neoplasm
6652_3678_1090_3672_3673_3676_3677_3679_6803,myocardial infarction
5068,myocardial infarction (disease)
24644,myocardial ischemia
21167,myositis
8055_9715_9710,myotonia congenita
9718,myxedema
13652_12179_8062_21107,narcolepsy
19371,narcolepsy without cataplexy
16158,narcolepsy-cataplexy syndrome
6314,nasal cavity polyp
11601,neonatal intrahepatic cholestasis due to citrin deficiency
4949,neoplasm of mature B-cells
1567,nephrocalcinosis
10356,nephrogenic syndrome of inappropriate antidiuresis
100151_9066_18467,nephropathic cystinosis
5072,neuroblastoma
1315,neurocirculatory asthenia
2120,neuroendocrine carcinoma
21193_17046,neuroepithelial neoplasm
7039_7245_18975_21061_8075,neurofibromatosis
20124,neuromuscular junction disease
958,neuroretinitis
5379,neurotic disorder
15290_1440,neurotrophic keratopathy
9971,newborn respiratory distress syndrome
8575,nicotine dependence
17776,nocardiosis
10910_10941_22,nocturnal enuresis
19137,non-24-hour sleep-wake syndrome
15760_18908_15759,non-Hodgkin lymphoma
15789,non-acquired combined pituitary hormone deficiencies without extra-pituitary malformations
18762,non-acquired combined pituitary hormone deficiency
19824,non-acquired pituitary hormone deficiency
16211,non-papillary transitional cell carcinoma of the bladder
5233,non-small cell lung carcinoma (disease)
7763,nonpapillary renal cell carcinoma
11122,obesity disorder
8114_1158,obsessive-compulsive disorder
4632,obsolete Hodgkin's granuloma
15560,obsolete classic mast cell leukemia
1807,obsolete familial combined hyperlipidemia
2144,obsolete hyperuricemia (disease)
1445,obsolete neurogenic bladder (disease)
20671,obsolete susceptibility to ischemic stroke
20578,obsolete vitamin D deficiency
6874,obstructive jaundice
7147,obstructive sleep apnea syndrome
6589,occupational dermatitis
6875,ocular hypertension
16701_16702,oligoastrocytoma
2544_16695_18744_2543_2540,oligodendroglial tumor
5338,open-angle glaucoma
5530,opiate dependence
5884,opisthorchiasis
495,oppositional defiant disorder (disease)
5886,oral candidiasis
9797,orotic aciduria
20751_5469_15914_21272,orthostatic hypotension
5890,osteitis fibrosa
5178_6629_5416_6630_6631_6632,osteoarthritis
8143_7704_11923_12893_12894_12568,osteoarthritis susceptibility
1068,osteomalacia (disease)
5246,osteomyelitis (disease)
5298,osteoporosis
2752,ovarian adenocarcinoma
8170,ovarian cancer
3792,ovarian carcinosarcoma
6045,ovarian clear cell adenocarcinoma
6335,ovarian endometrioid adenocarcinoma
2229,ovarian epithelial tumor
5601,ovarian mucinous adenocarcinoma
3795,ovarian small cell carcinoma
6624,overactive bladder (disease)
10962_7758_14622_19272_6588_18865_17667_17673_17672_44663,palmoplantar keratoderma
5048,pancreatic insulin-producing neuroendocrine tumor
24677,pancreatic insulinoma
11986_4982_5003_6515_3232,pancreatitis
17255,panuveitis (disease)
2512,papillary adenocarcinoma
17884,papillary renal cell carcinoma
4568,paralytic ileus (disease)
6592,parapsoriasis
18626,paratyphoid fever
21095,parkinsonian disorder
9830,parkinsonian-pyramidal syndrome
5898,paronychia (disease)
15529,paroxysmal Hemicrania
5384,partial epilepsy
6891,partial motor epilepsy
24266_14878_11827,patent ductus arteriosus
18055,pediatric hepatocellular carcinoma
19725,pediatric systemic lupus erythematosus
19975,pellagra
6594,pemphigus
1325,penile cancer
6361,penile fibromatosis
6895,penile neoplasm
6896,peptic esophagitis
4247,peptic ulcer disease
5076_5593,periodontitis
4964,"peripheral T-cell lymphoma, not otherwise specified"
18271,peripheral primitive neuroectodermal tumor
4522,peritonitis
8228,pernicious anemia
22430,persistent fetal circulation syndrome
8233,phaeochromocytoma
9861_19259_16366_19258,phenylketonuria
3699,phobic disorder
2319,phosphorus metabolism disease
7559_12304_12305,photoparoxysmal response
6906,pigmented villonodular synovitis
16692,pilomyxoid astrocytoma
6372,pituicytoma
15127,pituitary deficiency
19614,pituitary deficiency due to Rathke's pouch cysts
19617,pituitary deficiency due to empty sella turcica syndrome
20479,pituitary gigantism
19841,pituitary hormone defiency from vascular origin
6375,placental hemangioma
19095,plague
9693,plasma cell myeloma
17347,plasmablastic lymphoma
5615,plasmacytoma
16690,pleomorphic xanthoastrocytoma
18667,pleural empyema (disease)
19121,pneumocystosis
5249,pneumonia
43905_2572_1255_3479_43919,pneumonitis
33281_8263_33004_13131_9889_4691_20642,polycystic kidney disease
5571,polycythemia (disease)
1945,postencephalitic Parkinson disease
41052,postherpetic neuralgia
1438,postinflammatory pulmonary fibrosis
8159,postmenopausal osteoporosis
5929,postpartum depression
11479,postural orthostatic tachycardia syndrome
3019,potassium deficiency disease
19165_88_15791_15714,precocious puberty
20512,precursor T-cell acute lymphoblastic leukemia
5081,preeclampsia
1780,premature ejaculation (disease)
1119,premature menopause
1422,primary aldosteronism
7193_5388_13079_13080_13636_13637,primary biliary cholangitis
2571,primary central nervous system lymphoma
15810,primary cutaneous CD4+ small/medium-sized pleomorphic T-cell lymphoma
15758,primary cutaneous T-cell lymphoma
607,primary cutaneous T-cell non-Hodgkin lymphoma
15811,primary cutaneous aggressive epidermotropic CD8+ T-cell lymphoma
6383,"primary cutaneous diffuse large B-cell lymphoma, Leg type"
15812,primary cutaneous gamma/delta-positive T-cell lymphoma
19476,primary cutaneous peripheral T-cell lymphoma not otherwise specified
9824_13327_9823_2474,primary hyperoxaluria
18714,primary intralymphatic angioendothelioma
11744,primary intraosseous venous malformation
20323,primary mediastinal large B-cell lymphoma
9692,primary myelofibrosis
17327,primary non-gestational choriocarcinoma of ovary
5387_19852_19851,primary ovarian failure
15686,primary peritoneal carcinoma (disease)
10911_3430_6388,prolactin producing pituitary gland tumor
5082,prostate adenocarcinoma
8315,prostate cancer
5159,prostate carcinoma
21259,prostate neoplasm
5280,prostatitis (disease)
16687,protoplasmic astrocytoma
9468,pseudotumor cerebri
5083,psoriasis
11849,psoriatic arthritis
1196,psychologic dyspareunia
5485,psychotic disorder
15924,pulmonary arterial hypertension
5279,pulmonary embolism (disease)
4849,pulmonary emphysema
4802,pulmonary eosinophilia
2771,pulmonary fibrosis
1999_5149,pulmonary hypertension
6052,pulmonary tuberculosis
9329_20713_9937,pulmonary venoocclusive disease
809,purpura fulminans
22205,pustular psoriasis
6939_1110,pyelonephritis
18824,pyoderma gangrenosum
6941,rat-bite fever
5272,refractory anemia
19633,relapsing fever
5314,relapsing-remitting multiple sclerosis
5549,renal cell adenocarcinoma
5086,renal cell carcinoma (disease)
